,asin,name,category,description,price,rating,No_of_Rating
0,9788072216,Prada Candy by Prada for Women 1.7 oz Eau de Parfum Spray,Fragrance,"Brand Prada Scent Honey, Musk , Vanilla Item Form Spray Item Weight 278 Grams Item Volume 1.7 Fluid Ounces",$56.29,4.7 out of 5 stars,"1,391 ratings"
1,B00004TMFE,"Avalon Organics Therapy Thickening Conditioner, Biotin B-Complex, 14 Oz",Hair Care,"Brand Avalon Organics Scent Biotin B Hair Type Thin Liquid Volume 14 Fluid Ounces Ingredients Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Aqua (Water), Brassica Alcohol, Glycerin, Cocos Nucifera (Coconut) Oil (Certified Organic Ingredient), Brassicyl Isoleucinate Esylate, Gluconolactone, Capryloyl Glycerin/Sebacic Acid Copolymer, Cedrus Atlantica Wood Oil, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Eucalyptus Globulus Leaf Oil, Juniperus Virginiana Oil, Persea Gratissima (Avocado) Oil (Certified Organic Ingredient), Rosmarinus Officinalis (Rosemary) Leaf Oil, Zingiber Officinale (Ginger) Root Oil, Avena Sativa (Oat) Kernel Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Calendula Officinalis Flower Extract (Certified Organic Ingredient), Chamomilla Recutita (Matricaria) Flower Extract (Certified Organic Ingredient), Chenopodium Quinoa Seed (Certified Organic Ingredient), Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Grandis (Grapefruit) Fruit Extract, Daucus Carota Sativa (Carrot) Root Extract (Certified Organic Ingredient), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract (Certified Organic Ingredient), Persea Gratissima (Avocado) Fruit Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Rubus Idaeus (Raspberry) Fruit Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Serenoa Serrulata Fruit Extract (Certified Organic Ingredient) (Saw Palmetto Extract), Solanum Lycopersicum (Tomato) Fruit/Leaf/Stem Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Panthenol, Tocopheryl Acetate, Arachidyl Alcohol, Arginine, Behenyl Alcohol, Beta-Caryophyllene, Diheptyl Succinate, Glyceryl Stearate, Stearyl Alcohol (Certified Organic Ingredient), Calcium Gluconate, Sodium Benzoate, Citral, Limonene.Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Aqua (Water), Brassica Alcohol, Glycerin, Cocos Nucifera (Coconut) Oil (Certified Organic Ingre… See more",$7.81,4.1 out of 5 stars,"5,646 ratings"
2,B00004TUBL,"CLASSIC Better Living Two Chamber Dispenser, White",Bath,Color White Brand CLASSIC Item Dimensions LxWxH 4 x 11 x 7 inches,$39.99,4.3 out of 5 stars,99 ratings
3,B00004TUBV,"Better Living Products 73350 ULTI-MATE 3 Chamber Wall Mount Shower Dispenser, White with Mirror",Bath,Color White Material Plastic Brand Better Living Item Dimensions LxWxH 4 x 12 x 13 inches,$38.21,4.5 out of 5 stars,"1,245 ratings"
4,B000052WYD,"Maybelline New York Cover Stick Concealer, Light 2, 0.6 oz, Ivory, , 1.0 Count",Makeup,"Color Ivory Brand Maybelline New York Ingredients G2085 Ethylhexyl Palmitate, Ozokerite, Kaolin, Eyhylhexyl Hydroxstearate, Talc, Propylparaben, Polybutene, Methylparaben, Butylparaben, Tbhq. (+/- May Contain: Ci 77891/Titanium Dioxide, Ci 77499, Ci 77492, Ci 77491/Iron Oxides, Ci 77163/Bismuth Oxychloride, Ci 77007/Ultramarines, Ci 77289/Chromium Hydroxide Green).G2085 Ethylhexyl Palmitate, Ozokerite, Kaolin, Eyhylhexyl Hydroxstearate, Talc, Propylparaben, Polybutene, Methylparaben, Butylparaben, Tbhq. (+… See more Coverage Light Item Weight 5 Grams",$4.99,4.6 out of 5 stars,"3,316 ratings"
5,B000052WYN,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , 0.25 fl oz (7.3 ml)",Makeup,"Brand Maybelline New York Item Form Liquid Ingredients Water, Styrene/Acrylates Copolymer, Acrylates Copolymer, Alcohol Denat., Butylene Glycol, Vp/Dimethiconylacrylate/Polycarbamyl/ Polyglycol Ester, Phenoxyethanol, Peg-75 Lanolin, Xanthangum, Methylparaben, Polysorbate 20, Sodium Dehydroacetate, Cellulose Gum, Disodium Edta, Propylparaben, Simethicone. (+/- May Contain: Ci 77499, Ci 77492, Ci 77491/Iron Oxides, Ci 77891/Titanium Dioxide, Mica, Ci 77007/Ultramarines, Ci 77289/Chromium Hydroxide Green, Ci 77288/Chromium Oxide Greens.)Water, Styrene/Acrylates Copolymer, Acrylates Copolymer, Alcohol Denat., Butylene Glycol, Vp/Dimethiconylacrylate/Polycarbamyl/ Polyglycol… See more Finish Type Glossy color Item Weight 0.04 Pounds",$5.77,4.3 out of 5 stars,"6,215 ratings"
6,B000052X9G,Nullo Internal Deodorant (135 Caplets),Personal Care,"Ingredients Other Ingredients: Crospovidone, Dextrose, Hypromellose, Maltodextrin, Microcrystalline Cellulose, Mineral Oil, Stearic Acid.Other Ingredients: Crospovidone, Dextrose, Hypromellose, Maltodextrin, Microcrystalline Cellulose, Mineral Oil,… See more Brand Nullo Item Form Caplets",$55.00,4.2 out of 5 stars,162 ratings
7,B000052XIA,"Vagisil Regular Strength Anti-Itch Moisturizing Feminine Cream for Women, Gynecologist Tested, Hypoallergenic, Fast-acting and Long-lasting Itch Relief, Vaginal Moisturizer Soothes and Cools, 1 oz",Health Care,Brand Vagisil Active Ingredients ERROR: #N/A Specific Uses For Product ERROR: #N/A Item Form Cream Age Range (Description) Adult,$3.99,4.6 out of 5 stars,"1,053 ratings"
8,B000052XW5,"Pretty Feet & Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3)",Skin Care,"Brand Pretty Feet & Hands Ingredients Water, Paraffin, Magnesium Aluminum Silicate, Palmitic Acid, Stearic Acid, Triethanolamine, Methylparaben, Propylparaben, Fragrance.Water, Paraffin, Magnesium Aluminum Silicate, Palmitic Acid, Stearic Acid, Triethanolamine, Methylparaben, Propylparaben, Fragrance. See more Product Benefits Softness,Soft Item Weight 0.3 Pounds Skin Type Dry",$20.59,4.6 out of 5 stars,723 ratings
9,B000052XYQ,"DHS Clear Shampoo For Daily Cleasing Of Hair And Shampoo, 8 Fl Oz",Hair Care,Brand Person & Covey Scent Unscented Hair Type All Liquid Volume 8 Fluid Ounces Item Weight 110 Ounces,$12.20,4.5 out of 5 stars,293 ratings
10,B000052XZX,"Neutrogena T/Sal Therapeutic Shampoo, Scalp Build-Up Control 4.5 oz",Hair Care,"Brand Neutrogena Hair Type Dandruff Liquid Volume 130 Milliliters Item Weight 0.18 Kilograms Ingredients Active Ingredient: Salicylic Acid 2% Inactive Ingredients: Water, sodium C14-16 olefin sulfonate, cocamidopropyl betaine, sodium chloride, fragrance, polysorbate 20, PEG-80 sorbitan laurate, C12-15 alkyl lactate, benzalkonium chloride, disodium EDTA, cocamidopropyl PG-dimonium chloride phosphate, propylene glycol, aloe barbadensis leaf extract, anthemis nobilis flower extract, chamomilla recutita (matricaria) flower extract, sodium hydroxide, citric acid, yellow 5, red 40Active Ingredient: Salicylic Acid 2% Inactive Ingredients: Water, sodium C14-16 olefin sulfonate, cocamidopropyl betaine, sodium chloride, fragrance,… See more",$9.29,4.4 out of 5 stars,760 ratings
11,B000052Y33,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6)",Hair Care,"Scent Moisturizing Formula with Vitamin E Brand Alberto VO5 Item Form Oil Ingredients Water (Aqua), Cocotrimonium Chloride, Aloe Barbadensis Leaf Juice, Acetamide Mea, Hydroxyethylcellulose, Pei-1750, Polyquaternium-10, Hydrolyzed Wheat Protein, Tocopheryl Acetate, Niacinamide, Ascorbic Acid, Panthenol, Hydrolyzed Soy Protein/Vegetable Amino Acids/Lysine Hydroxypropyltrimonium Chloride, Phytantriol, Biotin, Polysorbate 20, Oleth-20, Methylparaben, Disodium Edta, Fragrance (Parfum), Yellow 6.Water (Aqua), Cocotrimonium Chloride, Aloe Barbadensis Leaf Juice, Acetamide Mea, Hydroxyethylcellulose, Pei-1750, Polyquaternium-1… See more Product Benefits Strengthening, Moisturizing, Breakage Control",$35.26,4.5 out of 5 stars,60 ratings
12,B000052YJC,"Buf Puf Body Sponge, Dermatologist Developed, Cleanses Skin of Dirt and Excess Oil, Reusable, Exfoliating, 1 Count",Personal Care,Brand Buf-Puf Style Body Sponge Item Dimensions LxWxH 3.81 x 1.31 x 5.06 inches,$8.64,4.6 out of 5 stars,"2,724 ratings"
13,B000052YJM,"Clean & Clear Essentials Dual Action Facial Moisturizer with Salicylic Acid Acne Medication to Treat Acne and Prevent Pimples, Oil Free Face Moisturizer Cream for Acne-Prone Skin, 4 oz",Skin Care,"Item Form Liquid Brand Clean & Clear Skin Type Oily Age Range (Description) Adult Ingredients Active Ingredients Salicylic acid 0.5% Purpose acne medication Inactive Ingredients Water, dicaprylyl ether, cetearyl alcohol, glycerin, neopentyl glycol diethylhexanoate, dimethicone, methyl gluceth-20, menthyl lactate, aluminum starch octenylsuccinate, ceteth-10 phosphate, dicetyl phosphate, steareth-20, sodium hydroxide, steareth-2, fragrance, neopentyl glycol diisostearate, hydrogenated lecithin, xanthan gum, magnesium aluminum silicate, disodium EDTA, BHTActive Ingredients Salicylic acid 0.5% Purpose acne medication Inactive Ingredients Water, dicaprylyl ether, cetearyl alcohol, glycerin, neopentyl glycol die… See more",$4.97,4.6 out of 5 stars,"2,874 ratings"
14,B000052YLX,Purpose Gentle Cleansing Bar 6 oz (170 g),Skin Care,"Item Form Bar Brand With a Purpose Skin Type Sensitive Ingredients Sodium Tallowater, Sodium Cocoate, Water, Glycerin, Fragrance, Sodium Chloride, Bht, Trisodium Hedta, D&c Yellow 10, D&c Orange 4.Sodium Tallowater, Sodium Cocoate, Water, Glycerin, Fragrance, Sodium Chloride, Bht, Trisodium Hedta, D&c Yellow 10, D&c Orange 4. See more Item Weight 0.4 Pounds",$6.89,4.8 out of 5 stars,272 ratings
15,B000052YM3,"Alpha Hydrox AHA Enhanced Creme, Anti-Wrinkle Exfoliant - 2 oz",Skin Care,Item Form Oil Brand Alpha Hydrox Skin Type Sensitive Scent Unscented Skin Tone All,$12.99,4.1 out of 5 stars,339 ratings
16,B000052YMG,"Aquanil Lotion A Gentle, Soapless Lipid-Free Cleanser - 16 fl oz",Skin Care,Item Form Lotion Brand Aquanil Scent Fragrance Free Skin Type Sensitive Age Range (Description) Adult,$17.21,4.6 out of 5 stars,865 ratings
17,B000052YMR,"Cetaphil Moisturizing Cream, Fragrance Free, 3 Ounce (Pack of 3) (Packaging May Vary)",Skin Care,Item Form Cream Brand Cetaphil Skin Type Sensitive Age Range (Description) Adult Scent Frangrance Free,$28.37,4.7 out of 5 stars,641 ratings
