,asin,name,category,description,price,rating,No_of_Rating
0,B000052YQU,"Pond's Cream, Dry Skin 3.9 oz (Pack of 3)",Skin Care,"Special Ingredients


Keratin




Item Form


Cream




Brand


Pond's




Skin Type


Dry




Age Range (Description)


Adult",$9.70,4.3 out of 5 stars,687 ratings
1,B000142FVW,"OPI Nail Polish, Hot Pinks & Dark Pinks, Nail Lacquer and Infinite Shine Long-Wear Formula, 0.5 fl oz","Foot, Hand & Nail Care","Item Form


Liquid




Brand


OPI




Color


Not So Bora-Bora-ing Pink




Finish Type


Pearl




Special Feature


Shine lasts until your take it off




Age Range (Description)


Adult




Liquid Volume


0.5 Fluid Ounces




Item Dimensions LxWxH


1.3 x 1.05 x 3.25 inches




Item Weight


15 Grams",$9.59,4.7 out of 5 stars,"16,363 ratings"
2,B0001433OU,"OPI Nail Polish, Light Pinks & Sheer Pinks, Nail Lacquer and Infinite Shine Long-Wear Formula, 0.5 fl oz","Foot, Hand & Nail Care","Item Form


Liquid




Brand


OPI




Color


You've Got Nata On Me




Finish Type


Creme




Special Feature


OPI , streak-free application delivering high-shine, fast-drying results.




Age Range (Description)


Adult




Liquid Volume


0.5 Fluid Ounces




Item Dimensions LxWxH


1.7 x 1.7 x 3.25 inches




Item Weight


0.06 Kilograms",$10.50,4.6 out of 5 stars,"13,520 ratings"
3,B00014DMQE,"Reviva Labs 10% Glycolic Acid Cream, 1.5 Ounce: Package may vary",Skin Care,"Brand


Reviva Labs




Ingredients


Water, Caprylic/Capric Triglyceride, Glycolic Acid, Glycol Distearate, Glycerin, Cetearyl Alcohol, Stearic Acid, (D-alpha) Tocopherol, Retinyl Palmitate, Sunflower Seed Oil, Olive Oil, Aloe Leaf Juice Powder, Lemon Peel Oil, Honeysuckle Extract, Safflower Oil, Comfrey Leaf Extract, Clary Oil, Matricaria Flower Extract, Carrot Root Extract, Pumpkin Seed Oil, Witch Hazel, SD40 Alcohol, Polysorbate 60, Albumen, Xanthan Gum, Potassium Sorbate.Water, Caprylic/Capric Triglyceride, Glycolic Acid, Glycol Distearate, Glycerin, Cetearyl Alcohol, Stearic Acid, (D-alpha) Tocopherol, Retinyl Palmitate, Sunflo…

See more





Product Benefits


Nourishing,Exfoliating




Active Ingredients


Glycolic_acid




Item Weight


0.09 Pounds",$24.97,4.3 out of 5 stars,"1,167 ratings"
4,B00014EH2C,EARTH SCIENCE - Apricot Night Cream with Hydrating Apricot and Vitamin E for Dry Skin (1.65 oz),Skin Care,"Special Ingredients


Hyaluronic Acid, Cocoa Butter




Item Form


Cream




Brand


Earth Science




Skin Type


Acne Prone




Age Range (Description)


Adult",$15.80,4.3 out of 5 stars,263 ratings
5,B00015GWQU,"Fran Wilson Nail Tees Applicators, 120 Count",Tools & Accessories,"Brand


Fran Wilson




Age Range (Description)


Adult




Item Dimensions LxWxH


0.3 x 2.5 x 2.5 inches




Item Weight


0.1 Pounds",$5.05,4.6 out of 5 stars,728 ratings
6,B0001AQCII,"China Glaze Nail Polish, Jetstream, 0.5 Fluid Ounce","Foot, Hand & Nail Care","Item Form


Liquid




Brand


China Glaze




Color


Jetstream




Finish Type


Shimmery, Opaque




Age Range (Description)


Adult




Liquid Volume


0.22 Fluid Ounces




Item Dimensions LxWxH


1.5 x 1.5 x 1.75 inches




Item Weight


0.03 Pounds",$4.59,4.5 out of 5 stars,"6,383 ratings"
7,B0002JIUDS,"NutriCology Ox Bile 500 mg - Fat Digestion, Liver, Metabolic, GI Support - 100 Vegicaps",Vitamins & Dietary Supplements,"Brand


Nutricology




Item Form


Capsule




Diet Type


Vegetarian




Dosage Form


500-1000




Ingredients


Serving Size: 1 capsule, Servings Per Container: 100, Amount per serving: Bile (Bovine) 500 mg. Other ingredients: Hydroxypropyl methylcellulose, L-leucine. Keep in a cool, dry place, tightly capped.Serving Size: 1 capsule, Servings Per Container: 100, Amount per serving: Bile (Bovine) 500 mg. Other ingredients: Hy…

See more





Allergen Information


Dairy Free, Gluten Free, Egg Free, Wheat Free, Soy Free, Fish Free, Shellfish Free, Peanut Free, Tree Nut FreeDairy Free, Gluten Free, Egg Free, Wheat Free, Soy Free, Fish Free, Shellfish Free, Peanut Free, Tree Nut Free

See more





Material Feature


Vegetarian




Item Weight


0.22 Pounds




Unit Count


100.00 Count




Item Dimensions LxWxH


2.19 x 2.19 x 3.88 inches",$43.29,4.4 out of 5 stars,"2,193 ratings"
8,B0002XY3QC,duri Miracote Super Fast Dry Through Top Coat .61 fl. oz.,"Foot, Hand & Nail Care","Item Form


Nail polish




Brand


Duri




Color


Miracote Super Fast Dry Through Top Coat




Finish Type


Translucent




Special Feature


Chip Resistant




Type


Top_coat




Age Range (Description)


Adult




Material Type Free


Formaldehyde Free




Material Feature


Cruelty Free




Liquid Volume


14 Milliliters",$7.99,4.6 out of 5 stars,403 ratings
9,B0002Z1JK8,Acquarella Conditioner,"Foot, Hand & Nail Care","Item Form


Liquid




Brand


Acquarella




Color


Clear




Age Range (Description)


Adult




Liquid Volume


12.5 Milliliters




Item Dimensions LxWxH


1 x 1.6 x 2.8 inches




Item Weight


0.15 Pounds",$18.00,3.8 out of 5 stars,57 ratings
